source_genesymbol	target_genesymbol	sign
CALM3	TRPC1	-1
CALM1	TRPC1	-1
CALM2	TRPC1	-1
CAV1	TRPC1	1
DRD2	TRPC1	1
MDFI	TRPC1	-1
ITPR2	TRPC1	1
MARCKS	TRPC1	-1
GRM1	TRPC1	1
STIM1	TRPC1	1
TRPC1	TRPC3	1
TRPC3	TRPC1	1
TRPC1	TRPC4	1
TRPC4	TRPC1	1
TRPC1	TRPC5	1
TRPC5	TRPC1	1
TRPC1	TRPC6	-1
TRPC1	PKD2	1
PKD2	TRPC1	1
TRPC1	TRPV4	1
TRPV4	TRPC1	1
TRPC1	TRPV6	-1
CALM3	TRPC3	-1
CALM1	TRPC3	-1
CALM2	TRPC3	-1
CASR	TRPC3	1
EPOR	TRPC3	1
HOMER1	TRPC3	1
ITPR1	TRPC3	1
ITPR3	TRPC3	1
ASPH	TRPC3	1
ORAI1	TRPC3	1
PRKG1	TRPC3	-1
RNF24	TRPC3	-1
SRC	TRPC3	1
TRPM4	TRPC3	-1
PKD2	TRPC3	1
WNK4	TRPC3	-1
NHERF1	TRPC4	1
RNF24	TRPC4	-1
CABP1	TRPC5	-1
NCS1	TRPC5	1
SESTD1	TRPC5	1
TRPC5	TRPC6	-1
CALM3	TRPC6	1
CALM1	TRPC6	1
CALM2	TRPC6	1
FYN	TRPC6	1
MX1	TRPC6	1
PRKG1	TRPC6	-1
RNF24	TRPC6	-1
SNF8	TRPC6	1
SRC	TRPC6	1
PRKG1	TRPC7	1
PKD2	TRPC7	1
CALM3	TRPV1	1
CALM1	TRPV1	1
CALM2	TRPV1	1
CNR1	TRPV1	-1
CDK5	TRPV1	1
FAF1	TRPV1	-1
GABARAP	TRPV1	1
KIF13B	TRPV1	1
PIRT	TRPV1	1
PRKACA	TRPV1	1
SRC	TRPV1	1
NTRK1	TRPV1	1
EGFR	TRPV3	1
CALM3	TRPV4	1
CALM1	TRPV4	1
CALM2	TRPV4	1
FYN	TRPV4	1
HCK	TRPV4	1
ITPR3	TRPV4	1
LCK	TRPV4	1
LYN	TRPV4	1
MAP7	TRPV4	1
OS9	TRPV4	1
PACSIN3	TRPV4	1
SRC	TRPV4	1
PKD2	TRPV4	1
TRPV4	PKD2	1
YES1	TRPV4	1
BSPRY	TRPV5	-1
CALB1	TRPV5	1
CALM3	TRPV5	-1
CALM1	TRPV5	-1
CALM2	TRPV5	-1
KL	TRPV5	1
RAB11A	TRPV5	1
S100A10	TRPV5	1
TGM2	TRPV5	-1
MCOLN3	TRPV5	1
TRPV5	MCOLN3	1
TRPV6	TRPV5	1
TRPV5	TRPV6	1
CALM3	TRPV6	-1
CALM1	TRPV6	-1
CALM2	TRPV6	-1
KL	TRPV6	1
NHERF4	TRPV6	1
NIPSNAP1	TRPV6	-1
NUMB	TRPV6	-1
PTPN1	TRPV6	-1
RAB11A	TRPV6	1
RGS2	TRPV6	-1
S100A10	TRPV6	1
NYX	TRPM1	1
CALM3	TRPM2	1
CALM1	TRPM2	1
CALM2	TRPM2	1
EFHC1	TRPM2	1
PTPN13	TRPM2	-1
CALM3	TRPM4	1
CALM1	TRPM4	1
CALM2	TRPM4	1
RACK1	TRPM6	-1
PHB2	TRPM6	-1
TRPM7	TRPM6	1
TRPM6	TRPM7	1
RACK1	TRPM7	-1
HTR1B	TRPM8	1
OPRM1	TRPM8	-1
PRKACA	MCOLN1	-1
MCOLN2	MCOLN1	1
MCOLN1	MCOLN2	1
MCOLN3	MCOLN1	1
MCOLN1	MCOLN3	1
MCOLN2	MCOLN3	1
PRKCSH	PKD2	-1
KIF3A	PKD2	1
STX5	PKD2	-1
RACK1	PKD2L2	-1
CASP3	EIF3J	-1
CASP3	ITGB4	1
RNF8	RXRA	1
PPP2CA_PPP2R5A_PTPA	RBL1	-1
MAPKAPK2	MAPK14	1
MAPK14	MAPKAPK2	1
MAPKAPK2	HNRNPA0	1
TIA1	GADD45A	-1
HNRNPD	GADD45A	-1
MAPKAPK2	PARN	-1
HNRNPA0	GADD45A	1
JAK2	EPOR	1
EPOR	JAK2	1
ESPN	MYO15A	1
GJB6	GJB2	1
