source_genesymbol	target_genesymbol	sign
CALM3	TRPC1	-1
CALM1	TRPC1	-1
CALM2	TRPC1	-1
CAV1	TRPC1	1
DRD2	TRPC1	1
MDFI	TRPC1	-1
MARCKS	TRPC1	-1
GRM1	TRPC1	1
STIM1	TRPC1	1
TRPC1	TRPC3	1
TRPC3	TRPC1	1
TRPC1	TRPC4	1
TRPC4	TRPC1	1
TRPC1	TRPC5	1
TRPC5	TRPC1	1
TRPC1	TRPC6	-1
TRPC1	PKD2	1
PKD2	TRPC1	1
TRPC1	TRPV4	1
TRPV4	TRPC1	1
TRPC1	TRPV6	-1
CALM3	TRPC3	-1
CALM1	TRPC3	-1
CALM2	TRPC3	-1
CASR	TRPC3	1
HOMER1	TRPC3	1
ITPR1	TRPC3	1
ITPR3	TRPC3	1
ASPH	TRPC3	1
PRKG1	TRPC3	-1
RNF24	TRPC3	-1
PKD2	TRPC3	1
WNK4	TRPC3	-1
RNF24	TRPC4	-1
CABP1	TRPC5	-1
NCS1	TRPC5	1
TRPC5	TRPC6	-1
CALM3	TRPC6	1
CALM1	TRPC6	1
CALM2	TRPC6	1
FYN	TRPC6	1
MX1	TRPC6	1
PRKG1	TRPC6	-1
RNF24	TRPC6	-1
SNF8	TRPC6	1
PRKG1	TRPC7	1
PKD2	TRPC7	1
CALM3	TRPV1	1
CALM1	TRPV1	1
CALM2	TRPV1	1
CNR1	TRPV1	-1
FAF1	TRPV1	-1
GABARAP	TRPV1	1
KIF13B	TRPV1	1
EGFR	TRPV3	1
CALM3	TRPV4	1
CALM1	TRPV4	1
CALM2	TRPV4	1
FYN	TRPV4	1
ITPR3	TRPV4	1
PKD2	TRPV4	1
TRPV4	PKD2	1
CALM3	TRPV6	-1
CALM1	TRPV6	-1
CALM2	TRPV6	-1
FYN	ITPR1	1
CAV1	EGFR	1
CALM3	ITPR1	1
CALM1	ITPR1	1
CALM2	ITPR1	1
CALM3	MARCKS	-1
CALM1	MARCKS	-1
CALM2	MARCKS	-1
CALM3	DRD2	-1
CALM1	DRD2	-1
CALM2	DRD2	-1
NCS1	DRD2	-1
EGFR	CALM2	1
EGFR	CALM1	1
EGFR	CALM3	1
FYN	CAV1	1
CAV1	FYN	1
