,KS_score,GS76_score,rank_KS,rank_GS76,consensus_rank,emt_group
F1,-0.09711122211122211,1.3796938540893606,1602.0,1751.0,1676.5,Hybrid
F2,-0.11971361971361971,3.154667669229468,1423.0,2183.0,1803.0,M
F3,-0.16779054279054278,2.119312242116834,1041.5,1923.0,1482.25,E
F4,-0.1317848817848818,6.460251007318789,1345.0,2856.0,2100.5,M
F5,0.14914252414252413,-3.7750558932930858,2525.0,704.0,1614.5,Hybrid
F6,0.19696969696969696,-2.270780532688917,2828.0,957.0,1892.5,M
F7,0.2343073593073593,-5.689167698111383,2973.0,476.0,1724.5,M
F8,0.3723776223776224,-12.784913175520423,3196.0,113.0,1654.5,Hybrid
F9,-0.13594738594738595,5.058094295375248,1303.0,2587.0,1945.0,M
F10,0.16558441558441558,-3.3998909674362636,2643.0,767.0,1705.0,Hybrid
F11,0.1324092574092574,-0.07980897706328705,2363.0,1400.0,1881.5,M
F12,-0.34944222444222445,6.972298120086826,197.5,2934.0,1565.75,E
F13,0.3427822177822178,-11.631737625850324,3177.0,143.0,1660.0,Hybrid
F14,-0.13353313353313354,1.883249249373577,1324.0,1869.0,1596.5,Hybrid
F15,0.1357808857808858,-0.959747065214664,2394.0,1198.0,1796.0,M
F16,0.22702297702297702,-4.951337619057291,2941.5,545.0,1743.25,M
F17,0.09894272394272394,-0.2136689018507525,1920.5,1369.0,1644.75,Hybrid
F18,0.20246420246420246,-3.1827740938407416,2860.5,802.0,1831.25,M
F19,-0.20512820512820512,3.602805065204741,810.5,2278.0,1544.25,E
F20,0.13657176157176157,-0.8822146783484328,2403.0,1212.0,1807.5,M
F21,-0.2688145188145188,1.3420178173402206,453.0,1739.0,1096.0,E
F22,0.17091242091242093,-5.985368096490028,2685.0,435.0,1560.0,E
F23,-0.2813436563436563,7.118151994671436,394.0,2953.0,1673.5,Hybrid
F24,-0.09111721611721611,2.5247892261781573,1631.0,2029.0,1830.0,M
F25,-0.22847985347985347,9.879985763756714,658.0,3210.0,1934.0,M
F26,0.18298368298368298,-8.096827128786103,2771.5,297.0,1534.25,E
F27,-0.1346153846153846,3.5185407301416873,1312.0,2254.0,1783.0,M
F28,-0.14960039960039961,4.315116291262683,1189.5,2431.0,1810.25,M
F29,-0.12479187479187479,0.9860131003285275,1395.0,1640.0,1517.5,E
F30,0.09253246753246754,0.44262256484343965,1842.0,1520.0,1681.0,Hybrid
F31,-0.24084249084249085,7.275641477172854,598.0,2973.0,1785.5,M
F32,-0.1995920745920746,3.0913738259805115,840.0,2168.0,1504.0,E
F33,-0.1510989010989011,5.647254426264958,1170.0,2719.0,1944.5,M
F34,-0.12404262404262405,2.2804899503206357,1401.5,1966.0,1683.75,Hybrid
F35,-0.28846153846153844,10.66339055069971,366.5,3225.0,1795.75,M
